Average Reward,Min Reward,Max Reward,Advantage Mean,Advantage Std,Average Entropy Loss,Last Entropy Loss,Average Policy Loss,Last Policy Loss,Average Value Loss,Last Value Loss
0.71058,0.03531,0.98718,0.0,1.0,1.2353,1.23452,-0.00891,0.0228,2264.9934,2124.51855
-1.32646,-4.93075,0.99008,-0.0,1.0,1.2322,1.2305,-0.0322,0.05935,30414.475,32450.24805
-0.15796,-3.19885,0.98798,0.0,1.0,1.2291,1.22804,-0.01225,0.0524,3967.2756,4069.17871
-0.27202,-4.40734,0.99188,-0.0,1.0,1.2246,1.22122,-0.01284,-0.06935,7718.15,7073.89111
-0.39637,-4.26853,0.99048,-0.0,1.0,1.218,1.21548,-0.02841,0.06653,7769.9014,9059.19434
0.74207,-0.03756,0.99198,0.0,1.0,1.2134,1.21075,-0.00612,-0.00386,2996.5012,2848.93335
0.70474,-1.2199,0.99178,-0.0,1.0,1.2092,1.2069,-0.00678,-0.01511,3045.7974,3007.96509
0.85652,0.35161,0.99188,0.0,1.0,1.2065,1.20649,-0.00866,0.01625,3996.179,3944.65723
0.84027,0.15715,0.99148,0.0,1.0,1.2057,1.20421,-0.00796,-0.23269,3470.804,3655.68604
-0.09788,-3.19286,0.99218,-0.0,1.0,1.2011,1.19781,-0.01179,-0.06533,2121.9912,2031.77612
0.02616,-4.51706,0.99168,-0.0,1.0,1.194,1.1908,-0.01755,-0.07372,5601.333,5274.66797
0.70387,-0.38372,0.98998,-0.0,1.0,1.1894,1.18809,-0.00405,0.03837,2216.0757,1957.47192
0.17008,-1.67027,0.98906,0.0,1.0,1.1845,1.18145,-0.0065,-0.12044,455.35776,402.83142
0.05498,-3.01405,0.99158,0.0,1.0,1.1827,1.18356,-0.00355,0.06835,3074.8892,3418.19434
0.37095,-1.40809,0.98841,-0.0,1.0,1.1831,1.1834,-0.007,0.1744,1126.8984,966.37659
0.04145,-2.15259,0.99044,0.0,1.0,1.1834,1.18271,-0.0072,-0.00852,1022.74133,1011.95074
0.61321,-0.66724,0.99018,-0.0,1.0,1.1804,1.17813,-0.00497,0.1257,1694.0089,1510.45312
0.63337,-4.37553,0.99188,-0.0,1.0,1.178,1.17686,-0.00759,-0.2073,1887.998,1979.29419
0.152,-2.95194,0.99138,-0.0,1.0,1.1779,1.17769,-0.0041,-0.00938,1588.907,1438.05884
-0.46053,-4.68938,0.98938,0.0,1.0,1.1757,1.17444,-0.01112,0.11643,5833.823,7446.0459
