Average Reward,Reward Min,Reward Max,Advantage Mean,Advantage Std,Entropy Loss,Policy Loss,Value Loss,,,,,,,,,,,Experiment,Measurement,Replication,Module,Module Display Path,Name,Count,Mean,StdDev
-3.5744,-8.9069,0.9601,0,1,0.7258,0.2559,924.3983,~?4?574.44,,,,,,,,,,PPOTraining,,#61,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?482.03
-2.977,-8.0261,0.9785,0,1,0.7258,0.533,407.3987,~?3?976.98,,,,,,,,,,PPOTraining,,#62,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?213.28
-3.5745,-8.5497,0.9602,0,1,0.7258,0.4597,751.0614,~?4?574.47,,,,,,,,,,PPOTraining,,#63,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?300.34
-4.3334,-10.2132,0.9742,0,1,0.7258,0,1111.4056,~?5?333.45,,,,,,,,,,PPOTraining,,#64,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?865.23
-4.0291,-10.9923,0.968,0,1,0.7258,0,1010.1218,~?5?029.06,,,,,,,,,,PPOTraining,,#65,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?367.73
-4.8248,-9.2668,0.9816,0,1,0.7258,0.6732,1737.5308,~?5?824.81,,,,,,,,,,PPOTraining,,#66,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?677.62
-3.354,-9.6755,0.9772,0,1,0.7258,0.065,1216.6198,~?4?354.03,,,,,,,,,,PPOTraining,,#67,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?872.26
-6.42,-10.9223,0.961,0,1,0.7258,0,4533.1533,~?7?420,,,,,,,,,,PPOTraining,,#68,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?229.17
-4.4706,-11.2059,0.9842,0,1,0.7258,0.0198,4263.4492,~?5?470.64,,,,,,,,,,PPOTraining,,#69,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?543.99
-4.2784,-9.588,0.9818,0,1,0.7258,0,2858.6582,~?5?278.39,,,,,,,,,,PPOTraining,,#70,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?129.76
-3.4128,-9.3622,0.9763,0,1,0.7258,0.0078,722.5129,~?4?412.85,,,,,,,,,,PPOTraining,,#71,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?728.8
-4.7821,-12.1945,0.9819,0,1,0.7258,1.2291,7509.0176,~?5?782.1,,,,,,,,,,PPOTraining,,#72,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?720.37
-2.9813,-7.9892,0.9777,0,1,0.7258,0.0227,506.4761,~?3?981.25,,,,,,,,,,PPOTraining,,#73,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?260.62
-3.6059,-8.1401,0.9827,0,1,0.7258,0.3903,560.4592,~?4?605.93,,,,,,,,,,PPOTraining,,#74,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?677.83
-4.129,-10.5407,0.9695,0,1,0.7258,0.562,3110.6206,~?5?128.96,,,,,,,,,,PPOTraining,,#75,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?414.03
-2.57,-7.8993,0.9821,0,1,0.7258,0.0697,591.39,~?3?569.97,,,,,,,,,,PPOTraining,,#76,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?566.19
