Average Reward,Reward Min,Reward Max,Advantage Mean,Advantage Std,Entropy Loss,Policy Loss,Value Loss,,,,,,,,,,,Experiment,Measurement,Replication,Module,Module Display Path,Name,Count,Mean,StdDev
,,,,,,,,,,,,,,,,,,PPOTraining,,#279,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?525.06
,,,,,,,,,,,,,,,,,,PPOTraining,,#280,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?661.69
,,,,,,,,,,,,,,,,,,PPOTraining,,#281,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?080.13
,,,,,,,,,,,,,,,,,,PPOTraining,,#282,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?029.24
,,,,,,,,,,,,,,,,,,PPOTraining,,#283,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?568.79
,,,,,,,,,,,,,,,,,,PPOTraining,,#284,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?4?345.54
,,,,,,,,,,,,,,,,,,PPOTraining,,#285,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?541.61
,,,,,,,,,,,,,,,,,,PPOTraining,,#286,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?274.65
,,,,,,,,,,,,,,,,,,PPOTraining,,#287,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?720.59
,,,,,,,,,,,,,,,,,,PPOTraining,,#288,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?513.21
,,,,,,,,,,,,,,,,,,PPOTraining,,#289,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?4?723.49
,,,,,,,,,,,,,,,,,,PPOTraining,,#290,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?594.24
,,,,,,,,,,,,,,,,,,PPOTraining,,#291,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?481.15
,,,,,,,,,,,,,,,,,,PPOTraining,,#292,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?273.05
,,,,,,,,,,,,,,,,,,PPOTraining,,#293,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?501.71
,,,,,,,,,,,,,,,,,,PPOTraining,,#294,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?452.93
,,,,,,,,,,,,,,,,,,PPOTraining,,#295,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?362.22
,,,,,,,,,,,,,,,,,,PPOTraining,,#296,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?4?259.99
,,,,,,,,,,,,,,,,,,PPOTraining,,#297,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?418.81
,,,,,,,,,,,,,,,,,,PPOTraining,,#298,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?875.68
,,,,,,,,,,,,,,,,,,PPOTraining,,#299,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?971.4
,,,,,,,,,,,,,,,,,,PPOTraining,,#300,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?604.8
,,,,,,,,,,,,,,,,,,PPOTraining,,#301,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?815.28
,,,,,,,,,,,,,,,,,,PPOTraining,,#302,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?927.45
,,,,,,,,,,,,,,,,,,PPOTraining,,#303,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?039.67
,,,,,,,,,,,,,,,,,,PPOTraining,,#304,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?335.44
,,,,,,,,,,,,,,,,,,PPOTraining,,#305,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?543.21
,,,,,,,,,,,,,,,,,,PPOTraining,,#306,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?295.04
,,,,,,,,,,,,,,,,,,PPOTraining,,#307,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?066.62
,,,,,,,,,,,,,,,,,,PPOTraining,,#308,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?882.61
,,,,,,,,,,,,,,,,,,PPOTraining,,#309,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?880.33
,,,,,,,,,,,,,,,,,,PPOTraining,,#310,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?074.4
,,,,,,,,,,,,,,,,,,PPOTraining,,#311,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?512.63
,,,,,,,,,,,,,,,,,,PPOTraining,,#312,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?801.5
,,,,,,,,,,,,,,,,,,PPOTraining,,#313,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?243.31
,,,,,,,,,,,,,,,,,,PPOTraining,,#314,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?697.16
,,,,,,,,,,,,,,,,,,PPOTraining,,#315,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?636.04
,,,,,,,,,,,,,,,,,,PPOTraining,,#316,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?897.07
,,,,,,,,,,,,,,,,,,PPOTraining,,#317,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?843.46
,,,,,,,,,,,,,,,,,,PPOTraining,,#318,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?914.69
,,,,,,,,,,,,,,,,,,PPOTraining,,#319,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?4?685.63
,,,,,,,,,,,,,,,,,,PPOTraining,,#320,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?4?269.82
,,,,,,,,,,,,,,,,,,PPOTraining,,#321,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?455.17
,,,,,,,,,,,,,,,,,,PPOTraining,,#322,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?479.09
,,,,,,,,,,,,,,,,,,PPOTraining,,#323,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?921.05
,,,,,,,,,,,,,,,,,,PPOTraining,,#324,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?074.44
,,,,,,,,,,,,,,,,,,PPOTraining,,#325,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?4?424.63
,,,,,,,,,,,,,,,,,,PPOTraining,,#326,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?696.29
,,,,,,,,,,,,,,,,,,PPOTraining,,#327,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?2?801.35
,,,,,,,,,,,,,,,,,,PPOTraining,,#328,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?470.05
,,,,,,,,,,,,,,,,,,PPOTraining,,#329,ResourceNetwork,ResourceNetwork,latencyOverTime:vector,512,,~?3?180.62
